date,gl
2020/7/23 00:00,168.3333
2020/7/23 00:15,130.5
2020/7/23 00:30,130.5
2020/7/23 00:45,146
2020/7/23 01:00,253.75
2020/7/23 01:15,237.3333
2020/7/23 01:30,271
2020/7/23 01:45,283
2020/7/23 02:00,249
2020/7/23 02:15,221
2020/7/23 02:30,202
2020/7/23 02:45,170
2020/7/23 03:00,253
2020/7/23 03:15,243.5
2020/7/23 03:30,236
2020/7/23 03:45,203.4
2020/7/23 04:00,265
2020/7/23 04:15,270
2020/7/23 04:30,216
2020/7/23 04:45,262
2020/7/23 05:00,316
2020/7/23 05:15,355.5
2020/7/23 05:30,358
2020/7/23 05:45,266.5
2020/7/23 06:00,282
2020/7/23 06:15,436
2020/7/23 06:30,449
2020/7/23 06:45,378
2020/7/23 07:00,449
2020/7/23 07:15,408.5
2020/7/23 07:30,386
2020/7/23 07:45,429
2020/7/23 08:00,1014
2020/7/23 08:15,464
2020/7/23 08:30,1276.3333
2020/7/23 08:45,1114
2020/7/23 09:00,408.3333
2020/7/23 09:15,1080
2020/7/23 09:30,685.3333
2020/7/23 09:45,646
2020/7/23 10:00,1149
2020/7/23 10:15,660.3333
2020/7/23 10:30,587.5
2020/7/23 10:45,647.5
2020/7/23 11:00,726
2020/7/23 11:15,703.6667
2020/7/23 11:30,1029
2020/7/23 11:45,426
2020/7/23 12:00,693
2020/7/23 12:15,557.5
2020/7/23 12:30,164.5
2020/7/23 12:45,558
2020/7/23 13:00,438
2020/7/23 13:15,395
2020/7/23 13:30,435
2020/7/23 13:45,339
2020/7/23 14:00,628
2020/7/23 14:15,323.5
2020/7/23 14:30,479
2020/7/23 14:45,391
2020/7/23 15:00,164
2020/7/23 15:15,383
2020/7/23 15:30,435.6667
2020/7/23 15:45,578.5
2020/7/23 16:00,284
2020/7/23 16:15,468.3333
2020/7/23 16:30,516
2020/7/23 16:45,591
2020/7/23 17:00,434.6667
2020/7/23 17:15,655
2020/7/23 17:30,757
2020/7/23 17:45,460.6667
2020/7/23 18:00,401
2020/7/23 18:15,396
2020/7/23 18:30,403
2020/7/23 18:45,268.6
2020/7/23 19:00,179
2020/7/23 19:15,501
2020/7/23 19:30,279
2020/7/23 19:45,556
2020/7/23 20:00,791
2020/7/23 20:15,465
2020/7/23 20:30,1063.6667
2020/7/23 20:45,357
2020/7/23 21:00,433.4
2020/7/23 21:15,720.5
2020/7/23 21:30,580
2020/7/23 21:45,415.4
2020/7/23 22:00,441.5
2020/7/23 22:15,478
2020/7/23 22:30,534
2020/7/23 22:45,656
2020/7/23 23:00,830
2020/7/23 23:15,673.5
2020/7/23 23:30,919
2020/7/23 23:45,1102
2020/7/24 00:00,934.5
2020/7/24 00:15,895.5
2020/7/24 00:30,905
2020/7/24 00:45,725
2020/7/24 01:00,926
2020/7/24 01:15,733.6
2020/7/24 01:30,671
2020/7/24 01:45,841
2020/7/24 02:00,953
2020/7/24 02:15,762
2020/7/24 02:30,903.3333
2020/7/24 02:45,690.6667
2020/7/24 03:00,634.5
2020/7/24 03:15,514
2020/7/24 03:30,464
2020/7/24 03:45,646.3333
2020/7/24 04:00,487
2020/7/24 04:15,409.6667
2020/7/24 04:30,671
2020/7/24 04:45,771.5
2020/7/24 05:00,713
2020/7/24 05:15,461
2020/7/24 05:30,636.5
2020/7/24 05:45,382
2020/7/24 06:00,441.5
2020/7/24 06:15,481.2
2020/7/24 06:30,438
2020/7/24 06:45,337
2020/7/24 07:00,184.5
2020/7/24 07:15,300
2020/7/24 07:30,386
2020/7/24 07:45,483.5
2020/7/24 08:00,843
2020/7/24 08:15,732.5
2020/7/24 08:30,733.6667
2020/7/24 08:45,556
2020/7/24 09:00,644
2020/7/24 09:15,849.6667
2020/7/24 09:30,1331
2020/7/24 09:45,894
2020/7/24 10:00,936.5
2020/7/24 10:15,666.6667
2020/7/24 10:30,469
2020/7/24 10:45,213.5
2020/7/24 11:00,216
2020/7/24 11:15,177.5
2020/7/24 11:30,276
2020/7/24 11:45,406
2020/7/24 12:00,454
2020/7/24 12:15,430.3333
2020/7/24 12:30,249.5
2020/7/24 12:45,358.5
2020/7/24 13:00,406
2020/7/24 13:15,121.6667
2020/7/24 13:30,13
2020/7/24 13:45,154
2020/7/24 14:00,134
2020/7/24 14:15,62
2020/7/24 14:30,148.5
2020/7/24 14:45,107
2020/7/24 15:00,197
2020/7/24 15:15,262.3333
2020/7/24 15:30,78.5
2020/7/24 15:45,280.5
2020/7/24 16:00,660
2020/7/24 16:15,701.6667
2020/7/24 16:30,1209
2020/7/24 16:45,421.6667
2020/7/24 17:00,661
2020/7/24 17:15,846.4
2020/7/24 17:30,1086
2020/7/24 17:45,793
2020/7/24 18:00,416.5
2020/7/24 18:15,646.3333
2020/7/24 18:30,504
2020/7/24 18:45,945.5
2020/7/24 19:00,649.6667
2020/7/24 19:15,405
2020/7/24 19:30,993
2020/7/24 19:45,357
2020/7/24 20:00,620
2020/7/24 20:15,1530
2020/7/24 20:30,534
2020/7/24 20:45,520
2020/7/24 21:00,446.5
2020/7/24 21:15,320
2020/7/24 21:30,367.5
2020/7/24 21:45,567.4
2020/7/24 22:00,520
2020/7/24 22:15,474.5
2020/7/24 22:30,499.6667
2020/7/24 22:45,605.5
2020/7/24 23:00,1154
2020/7/24 23:15,568.6
2020/7/24 23:30,452
2020/7/24 23:45,801
2020/7/25 00:00,1015.3333
2020/7/25 00:15,915.6667
2020/7/25 00:30,1254
2020/7/25 00:45,1012
2020/7/25 01:00,705
2020/7/25 01:15,617
2020/7/25 01:30,654
2020/7/25 01:45,768.6667
2020/7/25 02:00,628
2020/7/25 02:15,960
2020/7/25 02:30,969.6667
2020/7/25 02:45,705
2020/7/25 03:00,685
2020/7/25 03:15,563
2020/7/25 03:30,263
2020/7/25 03:45,286
2020/7/25 04:00,595.3333
2020/7/25 04:15,472
2020/7/25 04:30,671
2020/7/25 04:45,503.2
2020/7/25 05:00,574
2020/7/25 05:15,337.5
2020/7/25 05:30,700
2020/7/25 05:45,765
2020/7/25 06:00,680
2020/7/25 06:15,566
2020/7/25 06:30,473
2020/7/25 06:45,637
2020/7/25 07:00,432.5
